,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,rikitea,PF,71.8,overcast clouds,-23.1203,-134.9692,People ThankYou
2,langenthal,CH,48.79,light rain,47.2153,7.7961,Parkhotel Langenthal
3,oga,IT,38.8,overcast clouds,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
4,shingu,JP,53.24,clear sky,33.7333,135.9833,Shingu UI Hotel
5,souillac,MU,80.98,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
6,hermanus,ZA,69.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
7,port arthur,CN,52.02,overcast clouds,38.8,121.2667,Friendship Hotel
8,langholm,GB,47.01,overcast clouds,55.151,-2.9989,Crown Hotel
9,mataura,NZ,52.34,moderate rain,-46.1927,168.8643,Ellie's Villa
10,punta arenas,CL,48.31,broken clouds,-53.15,-70.9167,Hotel Hain
11,marsh harbour,BS,74.89,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
13,carnarvon,AU,66.4,clear sky,-24.8667,113.6333,Hospitality Carnarvon
14,port hardy,CA,30.38,clear sky,50.6996,-127.4199,Airport Inn-Port Hardy
17,avarua,CK,73.45,overcast clouds,-21.2078,-159.775,Paradise Inn
18,kerema,PG,80.92,overcast clouds,-7.9631,145.7785,Frena Lodge
20,bredasdorp,ZA,71.29,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
21,busselton,AU,56.48,broken clouds,-33.65,115.3333,Observatory Guest House
22,simao,CN,68.11,scattered clouds,22.7886,100.9748,Changyu Hotel
24,beidao,CN,52.11,scattered clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
25,albany,US,32.23,overcast clouds,42.6001,-73.9662,
26,santa maria da vitoria,BR,72.7,broken clouds,-13.3947,-44.1886,Pousada Rio Current
27,harper,LR,82.71,few clouds,4.375,-7.7169,Screensaver
28,luanda,AO,82.4,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
30,saint-joseph,RE,79.18,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
31,san cristobal,VE,65.32,moderate rain,7.7669,-72.225,Pirineos
32,kendari,ID,79.3,overcast clouds,-3.945,122.4989,Hotel Wixel
33,bilma,NE,78.78,clear sky,18.6853,12.9164,Expeditions Ténére voyages
35,airai,TL,65.19,light rain,-8.9266,125.4092,
36,ushuaia,AR,51.46,broken clouds,-54.8,-68.3,Albatross Hotel
38,sumenep,ID,81.07,light rain,-7.0167,113.8667,Family Nur Hotel
39,cabra,ES,52.59,light rain,37.4725,-4.4421,MS Fuente Las Piedras
