,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,rikitea,PF,-23.1203,-134.9692,71.8,73,99,12.64,overcast clouds
1,solnechnyy,RU,50.7214,136.6319,21.34,87,100,1.86,overcast clouds
2,langenthal,CH,47.2153,7.7961,48.79,93,99,7.56,light rain
3,oga,IT,46.4631,10.347,38.8,78,99,7.65,overcast clouds
4,shingu,JP,33.7333,135.9833,53.24,78,1,4.68,clear sky
5,souillac,MU,-20.5167,57.5167,80.98,47,20,9.22,few clouds
6,hermanus,ZA,-34.4187,19.2345,69.8,54,100,9.06,overcast clouds
7,port arthur,CN,38.8,121.2667,52.02,75,100,11.23,overcast clouds
8,langholm,GB,55.151,-2.9989,47.01,90,100,9.55,overcast clouds
9,mataura,NZ,-46.1927,168.8643,52.34,98,68,3.85,moderate rain
10,punta arenas,CL,-53.15,-70.9167,48.31,57,75,9.22,broken clouds
11,marsh harbour,BS,26.5412,-77.0636,74.89,73,92,14.81,overcast clouds
12,kungurtug,RU,50.5994,97.5228,4.53,94,94,0.78,overcast clouds
13,carnarvon,AU,-24.8667,113.6333,66.4,51,9,25.21,clear sky
14,port hardy,CA,50.6996,-127.4199,30.38,93,0,3.44,clear sky
15,dikson,RU,73.5069,80.5464,-4.02,92,100,26.78,overcast clouds
16,tiksi,RU,71.6872,128.8694,-8.12,89,100,5.88,overcast clouds
17,avarua,CK,-21.2078,-159.775,73.45,88,100,10.36,overcast clouds
18,kerema,PG,-7.9631,145.7785,80.92,83,100,2.48,overcast clouds
19,srednekolymsk,RU,67.45,153.6833,-24.02,98,83,8.95,broken clouds
20,bredasdorp,ZA,-34.5322,20.0403,71.29,36,100,14.97,overcast clouds
21,busselton,AU,-33.65,115.3333,56.48,49,63,17.85,broken clouds
22,simao,CN,22.7886,100.9748,68.11,72,45,1.66,scattered clouds
23,chokurdakh,RU,70.6333,147.9167,-8.21,99,99,4.05,overcast clouds
24,beidao,CN,34.5686,105.8933,52.11,30,34,1.99,scattered clouds
25,albany,US,42.6001,-73.9662,32.23,82,93,1.01,overcast clouds
26,santa maria da vitoria,BR,-13.3947,-44.1886,72.7,86,54,2.13,broken clouds
27,harper,LR,4.375,-7.7169,82.71,69,14,7.38,few clouds
28,luanda,AO,-8.8368,13.2343,82.4,65,40,4.61,scattered clouds
29,pangody,RU,65.85,74.4859,15.37,93,100,20.62,light snow
30,saint-joseph,RE,-21.3667,55.6167,79.18,62,7,6.24,clear sky
31,san cristobal,VE,7.7669,-72.225,65.32,95,100,2.28,moderate rain
32,kendari,ID,-3.945,122.4989,79.3,84,93,6.67,overcast clouds
33,bilma,NE,18.6853,12.9164,78.78,15,4,7.58,clear sky
34,khatanga,RU,71.9667,102.5,-18.81,87,96,8.41,overcast clouds
35,airai,TL,-8.9266,125.4092,65.19,89,100,1.88,light rain
36,ushuaia,AR,-54.8,-68.3,51.46,43,75,11.5,broken clouds
37,magadan,RU,59.5667,150.8,-11.47,81,1,6.98,clear sky
